IntRelStiff,IntRelStr,IntRelFracEng,CapRelStiff,CapRelStr,Frac
8.33E-02,8.33E-02,1.00E-02,1.33E-05,8.33E-02,0
8.33E-02,8.33E-02,1.00E-02,2.33E-05,8.33E-02,0
8.33E-02,8.33E-02,1.00E-02,3.33E-05,8.33E-02,0
8.33E-02,8.33E-02,1.00E-02,1.67E-04,8.33E-02,1
8.33E-02,8.33E-02,1.00E-02,3.33E-04,8.33E-02,1
8.33E-02,8.33E-02,1.00E-02,3.33E-03,8.33E-02,1
8.33E-02,8.33E-02,1.00E-02,1.67E-02,8.33E-02,1
8.33E-02,8.33E-02,1.00E-02,3.33E-02,8.33E-02,1
8.33E-02,8.33E-02,1.00E-02,1.33E-01,8.33E-02,1
8.33E-02,8.33E-02,1.00E-02,1.33E-05,1.25E-01,0
8.33E-02,8.33E-02,1.00E-02,2.33E-05,1.25E-01,0
8.33E-02,8.33E-02,1.00E-02,3.33E-05,1.25E-01,0
8.33E-02,8.33E-02,1.00E-02,1.67E-04,1.25E-01,0
8.33E-02,8.33E-02,1.00E-02,3.33E-04,1.25E-01,1
8.33E-02,8.33E-02,1.00E-02,3.33E-03,1.25E-01,1
8.33E-02,8.33E-02,1.00E-02,1.67E-02,1.25E-01,1
8.33E-02,8.33E-02,1.00E-02,3.33E-02,1.25E-01,1
8.33E-02,8.33E-02,1.00E-02,1.33E-01,1.25E-01,1
8.33E-02,8.33E-02,1.00E-02,1.33E-05,1.67E-01,0
8.33E-02,8.33E-02,1.00E-02,2.33E-05,1.67E-01,0
8.33E-02,8.33E-02,1.00E-02,3.33E-05,1.67E-01,0
8.33E-02,8.33E-02,1.00E-02,1.67E-04,1.67E-01,0
8.33E-02,8.33E-02,1.00E-02,3.33E-04,1.67E-01,0
8.33E-02,8.33E-02,1.00E-02,3.33E-03,1.67E-01,1
8.33E-02,8.33E-02,1.00E-02,1.67E-02,1.67E-01,1
8.33E-02,8.33E-02,1.00E-02,3.33E-02,1.67E-01,1
8.33E-02,8.33E-02,1.00E-02,1.33E-01,1.67E-01,1
8.33E-02,8.33E-02,1.00E-02,1.33E-05,3.33E-01,0
8.33E-02,8.33E-02,1.00E-02,2.33E-05,3.33E-01,0
8.33E-02,8.33E-02,1.00E-02,3.33E-05,3.33E-01,0
8.33E-02,8.33E-02,1.00E-02,1.67E-04,3.33E-01,0
8.33E-02,8.33E-02,1.00E-02,3.33E-04,3.33E-01,0
8.33E-02,8.33E-02,1.00E-02,3.33E-03,3.33E-01,1
8.33E-02,8.33E-02,1.00E-02,1.67E-02,3.33E-01,1
8.33E-02,8.33E-02,1.00E-02,3.33E-02,3.33E-01,1
8.33E-02,8.33E-02,1.00E-02,1.33E-01,3.33E-01,1
8.33E-02,8.33E-02,1.00E-02,1.33E-05,6.67E-01,0
8.33E-02,8.33E-02,1.00E-02,2.33E-05,6.67E-01,0
8.33E-02,8.33E-02,1.00E-02,3.33E-05,6.67E-01,0
8.33E-02,8.33E-02,1.00E-02,1.67E-04,6.67E-01,0
8.33E-02,8.33E-02,1.00E-02,3.33E-04,6.67E-01,0
8.33E-02,8.33E-02,1.00E-02,3.33E-03,6.67E-01,0
8.33E-02,8.33E-02,1.00E-02,1.67E-02,6.67E-01,1
8.33E-02,8.33E-02,1.00E-02,3.33E-02,6.67E-01,1
8.33E-02,8.33E-02,1.00E-02,1.33E-01,6.67E-01,1
8.33E-02,8.33E-02,1.00E-02,1.33E-05,1.00E+00,0
8.33E-02,8.33E-02,1.00E-02,2.33E-05,1.00E+00,0
8.33E-02,8.33E-02,1.00E-02,3.33E-05,1.00E+00,0
8.33E-02,8.33E-02,1.00E-02,1.67E-04,1.00E+00,0
8.33E-02,8.33E-02,1.00E-02,3.33E-04,1.00E+00,0
8.33E-02,8.33E-02,1.00E-02,3.33E-03,1.00E+00,0
8.33E-02,8.33E-02,1.00E-02,1.67E-02,1.00E+00,0
8.33E-02,8.33E-02,1.00E-02,3.33E-02,1.00E+00,1
8.33E-02,8.33E-02,1.00E-02,1.33E-01,1.00E+00,1
8.33E-02,8.33E-02,1.00E-02,1.33E-05,1.67E+00,0
